Date,P_StartTime_1,P_EndTime_1,P_SL_1,P_UTSL_1,P_OM_1,Future_1,CE.Strike_1,CE.Price_1,CE.SL.Time_1,CE.PNL_1,PE.Strike_1,PE.Price_1,PE.SL.Time_1,PE.PNL_1,UT.Strike_1,UT.Price_1,UT.SL.Time_1,BPL_1,TT.PL.AT.SL_1,UT.PL.AT.SL_1,UT.PNL_1,Total.PNL_1,P_StartTime_2,P_EndTime_2,P_SL_2,P_UTSL_2,P_OM_2,Future_2,CE.Strike_2,CE.Price_2,CE.SL.Time_2,CE.PNL_2,PE.Strike_2,PE.Price_2,PE.SL.Time_2,PE.PNL_2,UT.Strike_2,UT.Price_2,UT.SL.Time_2,BPL_2,TT.PL.AT.SL_2,UT.PL.AT.SL_2,UT.PNL_2,Total.PNL_2,Total.PNL
2018-02-14,09:16:00,13:00:00,0,0,1,25700.0,25500CE,264.5,,106.04,25900PE,276.3,,-106.85374999999998,,,,-0.8099999999999881,0,0,0,-0.81,13:00:00,15:25:00,30.0,50.0,0.5,25552.0,25500CE,155.15,,106.76,25600PE,167.2,14:49:00,-52.25,25500CE,89.65,,0.0,-52.25,63.560625,43.2,54.51,53.7
2018-02-15,09:16:00,13:00:00,0,0,1,25386.3,25000CE,361.25,,-218.27,25700PE,339.2,,210.95999999999998,,,,-7.3056250000000205,0,0,0,-7.31,13:00:00,15:25:00,30.0,50.0,0.5,25600.0,25400CE,183.2,,172.71,25700PE,124.0,13:03:00,-38.75,25400CE,134.65,,0.0,-38.749999999999986,46.259999999999984,126.45,133.96,126.65
2018-02-16,09:16:00,13:00:00,0,0,1,25563.05,25400CE,316.25,,108.8,25700PE,291.75,,-179.946875,,,,-71.15,0,0,0,-71.15,13:00:00,15:25:00,30.0,50.0,0.5,25316.05,25500CE,160.55,,70.69,25100PE,170.0,14:00:00,-53.12,25500CE,121.0,,0.0,-53.125,37.54312500000001,33.15,17.57,-53.58
2018-02-19,09:16:00,13:00:00,0,0,1,25152.15,25000CE,313.1,,163.34,25300PE,295.9,,-180.84875000000002,,,,-17.51249999999999,0,0,0,-17.51,13:00:00,15:25:00,30.0,50.0,0.5,24886.65,25100CE,109.5,14:42:00,-34.22,24600PE,106.85,,56.71,24600PE,65.0,,0.0,-34.22,40.514374999999994,16.2,22.494374999999998,4.98
2018-02-20,09:16:00,13:00:00,0,0,1,25010.9,24800CE,299.25,,-55.14,25200PE,278.8,,62.61500000000002,,,,7.474375000000045,0,0,0,7.47,13:00:00,15:25:00,30.0,50.0,0.5,25102.0,25100CE,157.75,,104.03,25100PE,160.7,14:51:00,-50.22,25100CE,117.65,,0.0,-50.21875000000001,38.128125,65.9,53.81,61.28
2018-02-21,09:16:00,13:00:00,0,0,1,24918.8,24700CE,268.4,,84.04,25100PE,245.45,,-68.21812500000003,,,,15.826874999999944,0,0,0,15.83,13:00:00,15:25:00,30.0,50.0,0.5,24817.45,24800CE,125.05,13:54:00,-39.08,24800PE,116.35,,58.55,24800PE,85.95,,0.0,-39.08,28.945624999999993,29.6,19.465624999999996,35.3
2018-02-22,09:16:00,13:00:00,0,0,1,24834.0,24600CE,241.2,,17.18,25100PE,270.95,,-4.536875000000034,,,,12.648124999999954,0,0,0,12.65,13:00:00,15:25:00,30.0,50.0,0.5,24821.3,24700CE,142.25,13:17:00,-44.45,24900PE,113.0,14:15:00,-35.31,24900PE,76.85,14:10:00,0.0,-44.45,34.737500000000004,-38.42,-48.137499999999996,-35.49
2018-02-23,09:16:00,13:00:00,0,0,1,25084.15,24900CE,270.6,,-145.03,25200PE,284.05,,136.349375,,,,-8.683124999999961,0,0,0,-8.68,13:00:00,15:25:00,30.0,50.0,0.5,25310.05,25300CE,148.25,,-36.55,25200PE,144.15,,39.548125000000006,,,,2.9950000000000188,0.0,0.0,0.0,3.0,-5.68
2018-02-26,09:16:00,13:00:00,0,0,1,25495.0,25200CE,296.35,,-97.35,25700PE,304.4,,88.59499999999997,,,,-8.759375000000006,0,0,0,-8.76,13:00:00,15:25:00,30.0,50.0,0.5,25611.0,25500CE,172.5,13:33:00,-53.91,25600PE,155.0,,55.91,25600PE,115.0,,0.0,-53.91,38.0625,17.85,2.0024999999999977,-6.76
2018-02-27,09:16:00,13:00:00,0,0,1,25705.9,25400CE,298.65,,114.92,25900PE,279.45,,-149.043125,,,,-34.12625000000003,0,0,0,-34.13,13:00:00,15:25:00,30.0,50.0,0.5,25527.3,25500CE,125.9,,59.03,25500PE,147.0,13:53:00,-45.94,25500CE,79.0,,0.0,-45.93749999999999,45.32625000000001,13.7,13.09,-21.04
2018-02-28,09:16:00,13:00:00,0,0,1,25156.05,24900CE,260.65,,116.69,25400PE,288.25,,-134.103125,,,,-17.411250000000024,0,0,0,-17.41,13:00:00,15:25:00,30.0,50.0,0.5,25024.65,24900CE,140.7,14:06:00,-43.97,25000PE,113.55,,64.98,25000PE,72.75,,0.0,-43.97,39.380624999999995,25.6,21.010624999999997,3.6
2018-03-01,09:16:00,13:00:00,0,0,1,25171.1,24800CE,325.45,,15.23,25500PE,367.3,,-14.04124999999999,,,,1.190625000000022,0,0,0,1.19,13:00:00,15:25:00,30.0,50.0,0.5,25158.85,25000CE,124.7,,123.09,25300PE,175.8,14:11:00,-54.94,25000CE,71.05,,0.0,-54.93750000000001,52.09125,71.0,68.15,69.34
2018-03-05,09:16:00,13:00:00,0,0,1,24746.0,24700CE,215.65,,-6.75,24700PE,207.85,,-0.5481250000000171,,,,-7.293749999999999,0,0,0,-7.29,13:00:00,15:25:00,30.0,50.0,0.5,24755.0,24900CE,130.0,13:48:00,-40.62,24500PE,132.5,,42.34,24500PE,109.15,,0.0,-40.62,21.693749999999994,20.65,1.7237500000000026,-5.57
