date_time,index,scrip,open,high,low,close,volume,openinterest,expiry_date,dte,date_time
2022-01-06 09:25:00,NIFTY,17300PE,1.55,1.6,1.5,1.5,269500,3871950,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18050CE,1.6,1.65,1.55,1.65,334300,3138250,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17350PE,1.65,1.75,1.65,1.75,78300,874100,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17400PE,2.25,2.3,2.2,2.2,289000,3608000,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18000CE,2.25,2.35,2.2,2.35,987300,8798900,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17450PE,3.1,3.2,2.95,3.0,167950,1105900,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17950CE,3.2,3.3,3.1,3.2,496500,3093850,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17500PE,4.4,4.55,4.2,4.35,372650,5537700,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17900CE,6.2,6.25,5.65,6.1,973000,5445450,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17550PE,6.3,6.7,6.05,6.45,153450,1502050,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17600PE,9.75,10.5,9.55,10.05,576500,4385700,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17850CE,13.6,13.85,12.2,12.85,768400,2287650,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17650PE,15.65,16.75,15.25,16.1,367400,2503250,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17700PE,26.05,27.75,25.45,26.9,1099050,6826050,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17800CE,28.8,29.2,26.7,27.55,1407000,4386050,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17750PE,41.5,44.1,40.85,43.1,613650,2593450,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17750CE,54.45,54.6,50.8,52.35,427950,1370650,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17800PE,65.65,69.75,65.35,68.45,650150,5221300,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17700CE,88.8,89.9,84.5,86.45,370750,2655000,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17850PE,100.2,105.15,99.9,103.85,492650,1576000,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17650CE,129.55,129.6,123.75,125.4,72600,772750,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17900PE,143.25,149.25,142.25,146.65,206150,3137800,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17600CE,173.55,174.0,167.5,169.65,91400,733550,2022-01-06,0,2022-01-06 09:25:00
